price,num_subscribers,num_reviews,num_lectures,content_duration,published_timestamp,subject
145,1433,169,15,1,2016-05-09T05:44:33Z,Business Finance
20,936,6,11,1.5,2017-04-11T00:59:50Z,Business Finance
200,658,2,19,1,2017-06-02T18:12:45Z,Business Finance
105,8121,689,40,3.5,2016-10-18T00:51:59Z,Business Finance
60,4187,600,79,9,2016-02-29T18:45:41Z,Business Finance
155,9445,497,38,4.5,2014-02-19T19:04:28Z,Business Finance
200,3255,340,102,8.5,2016-06-20T20:17:12Z,Business Finance
185,7941,713,40,6.5,2014-08-11T08:01:14Z,Business Finance
150,1680,158,76,5.5,2016-11-26T04:09:14Z,Business Finance
180,10100,985,45,11,2013-02-25T11:36:06Z,Business Finance
125,5050,461,26,1.5,2015-02-10T04:21:40Z,Business Finance
200,2310,162,26,3.5,2016-10-05T17:42:52Z,Business Finance
185,5528,506,32,3,2015-02-19T11:31:27Z,Business Finance
125,6451,237,28,5,2014-04-16T13:58:31Z,Business Finance
95,12394,218,30,2.5,2015-02-20T21:39:41Z,Business Finance
200,1793,18,15,1,2017-03-03T21:43:05Z,Business Finance
20,3223,240,23,1,2016-03-30T15:29:03Z,Business Finance
60,16385,273,45,3,2014-09-02T03:53:13Z,Business Finance
200,1487,16,18,2,2017-03-08T21:09:41Z,Business Finance
200,2951,232,60,4,2016-05-04T05:22:32Z,Business Finance
120,2697,331,15,1,2015-08-13T18:58:05Z,Business Finance
150,3979,40,39,5,2016-11-09T01:45:20Z,Business Finance
25,3190,244,45,4,2016-02-03T17:10:31Z,Business Finance
200,1406,71,54,1.5,2017-01-18T20:55:27Z,Business Finance
160,4252,225,24,2,2014-09-19T04:07:58Z,Business Finance
20,11958,370,134,11.5,2014-10-02T09:16:55Z,Business Finance
95,7743,340,33,1.5,2015-09-10T00:30:48Z,Business Finance
50,2134,55,5,1,2016-07-13T18:37:40Z,Business Finance
200,1214,69,20,1.5,2016-10-07T04:58:46Z,Business Finance
20,3870,53,10,1,2016-03-21T21:09:49Z,Business Finance
200,2146,212,49,4.5,2015-06-16T22:43:07Z,Business Finance
195,484,57,19,1,2017-03-14T18:30:55Z,Business Finance
200,1057,15,14,1.5,2017-01-11T20:48:19Z,Business Finance
20,1754,100,49,2.5,2016-06-30T17:06:46Z,Business Finance
20,1239,5,6,0.7,2017-05-23T16:07:09Z,Business Finance
95,2493,276,108,9.5,2015-01-31T19:02:09Z,Business Finance
150,2602,402,57,5,2015-10-28T17:32:56Z,Business Finance
40,2000,30,9,1,2015-04-13T20:28:04Z,Business Finance
0,1514,66,11,0.55,2017-03-23T22:19:57Z,Business Finance
20,1361,1,14,3,2016-10-04T23:38:32Z,Business Finance
100,61,18,30,1.5,2017-06-09T17:01:05Z,Business Finance
75,1513,31,60,5.5,2015-08-04T19:16:51Z,Business Finance
20,1374,19,9,2,2016-01-14T18:58:56Z,Business Finance
40,2103,15,6,1.5,2015-04-12T22:28:45Z,Business Finance
20,1480,25,25,1.5,2016-03-21T17:00:37Z,Business Finance
25,2516,12,20,1.5,2015-01-08T13:55:52Z,Business Finance
0,50855,2698,15,1.5,2013-12-25T19:53:34Z,Business Finance
50,1971,13,20,1.5,2015-12-03T17:08:10Z,Business Finance
200,837,9,19,1,2016-10-03T17:32:40Z,Business Finance
0,17160,620,23,1,2014-08-29T20:10:38Z,Business Finance
195,1723,38,24,1,2015-12-14T18:29:57Z,Business Finance
0,6811,151,51,2,2016-08-05T17:03:15Z,Business Finance
20,2060,17,30,4.5,2016-01-28T21:43:31Z,Business Finance
150,2318,19,16,5,2014-12-31T03:29:21Z,Business Finance
95,2153,14,13,1.5,2015-07-27T18:39:51Z,Business Finance
0,19339,794,9,2,2014-03-31T21:35:06Z,Business Finance
20,3177,8,8,1,2015-04-16T17:35:54Z,Business Finance
150,1535,16,462,62,2016-06-03T17:42:27Z,Business Finance
20,1027,29,25,1.5,2016-07-18T22:38:56Z,Business Finance
25,307,8,5,0.133333333,2017-05-01T18:50:43Z,Business Finance
150,2096,48,29,0.683333333,2015-08-24T22:16:54Z,Business Finance
50,1315,48,59,2.5,2015-11-18T22:40:10Z,Business Finance
0,29167,1463,8,1.5,2014-05-27T16:22:16Z,Business Finance
50,1056,1,42,3,2017-02-09T19:33:52Z,Business Finance
180,2212,194,24,4.5,2013-03-05T18:27:38Z,Business Finance
50,2946,6,284,31.5,2016-05-05T23:07:43Z,Business Finance
100,271,48,47,3.5,2017-02-20T23:45:20Z,Business Finance
25,3771,10,35,2.5,2015-02-13T14:37:18Z,Business Finance
200,3143,11,39,3,2015-11-10T22:55:53Z,Business Finance
20,1951,30,20,0.55,2015-10-13T21:07:22Z,Business Finance
90,4022,35,14,1,2016-12-15T15:49:13Z,Business Finance
0,11724,649,17,1.5,2016-03-04T05:58:09Z,Business Finance
20,2283,54,16,2,2015-04-20T18:52:32Z,Business Finance
35,1181,1,18,1,2017-06-29T23:34:42Z,Business Finance
50,1852,3,14,2.5,2016-12-28T18:19:16Z,Business Finance
100,4661,187,20,1,2014-09-01T21:43:47Z,Business Finance
50,989,9,11,1,2017-04-24T16:42:56Z,Business Finance
20,5841,16,28,1.5,2016-06-14T15:43:23Z,Business Finance
200,1087,14,61,9.5,2017-03-23T05:54:27Z,Business Finance
200,611,4,26,1,2017-06-07T17:15:07Z,Business Finance
60,1922,149,15,20,2016-01-21T01:25:31Z,Business Finance
150,9015,65,23,2.5,2014-07-01T20:04:27Z,Business Finance
20,661,4,12,1,2017-05-02T21:59:07Z,Business Finance
105,1077,110,55,6,2016-08-19T20:12:24Z,Business Finance
20,6050,140,17,1.5,2014-05-18T19:08:04Z,Business Finance
150,3523,46,45,4,2016-01-10T21:39:39Z,Business Finance
0,56659,4397,16,1.5,2013-04-07T21:39:25Z,Business Finance
100,1444,101,59,5,2016-07-25T16:08:07Z,Business Finance
60,2900,424,36,2.5,2014-10-19T22:04:51Z,Business Finance
200,1437,96,34,2.5,2016-08-08T22:23:09Z,Business Finance
200,453,42,33,3,2017-03-14T00:39:45Z,Business Finance
20,2437,12,23,1.5,2016-11-16T17:38:38Z,Business Finance
30,5057,142,13,1,2015-02-06T07:12:25Z,Business Finance
95,6092,25,29,1.5,2016-11-03T05:22:20Z,Business Finance
95,4530,13,31,1.5,2015-08-06T19:08:20Z,Business Finance
60,6967,16,34,1,2017-05-02T20:53:24Z,Business Finance
20,727,11,25,3,2017-04-26T18:17:51Z,Business Finance
20,1560,43,25,3,2016-08-31T22:03:44Z,Business Finance
200,1047,9,46,3.5,2017-01-26T22:55:27Z,Business Finance
125,1045,2,17,1,2017-04-24T21:59:45Z,Business Finance
200,3050,86,22,2,2015-01-27T09:27:49Z,Business Finance
200,2988,21,43,4.5,2015-09-29T19:15:24Z,Business Finance
35,2623,158,20,1,2015-08-21T20:33:25Z,Business Finance
200,1924,351,544,46.5,2015-07-16T22:03:29Z,Business Finance
200,3804,267,66,5,2015-06-19T21:22:17Z,Business Finance
120,4133,15,36,4,2015-10-08T20:23:36Z,Business Finance
195,1420,70,29,2.5,2016-04-28T18:04:46Z,Business Finance
125,1120,6,43,3,2017-01-23T17:04:49Z,Business Finance
200,668,12,22,1,2017-02-07T00:45:51Z,Business Finance
25,4086,31,14,1.5,2015-03-08T21:13:13Z,Business Finance
200,1033,10,29,2,2017-01-11T16:17:20Z,Business Finance
20,832,34,34,1.5,2016-12-07T20:19:37Z,Business Finance
195,677,45,40,4.5,2016-12-18T16:13:47Z,Business Finance
20,3125,54,13,2,2015-08-09T18:34:30Z,Business Finance
50,1081,6,21,1.5,2017-02-10T00:51:57Z,Business Finance
200,1645,25,42,2,2016-09-07T20:33:30Z,Business Finance
120,3348,352,13,3,2013-02-25T21:38:29Z,Business Finance
200,939,7,19,1.5,2017-02-10T22:40:57Z,Business Finance
200,2115,59,88,5.5,2015-11-13T18:10:25Z,Business Finance
45,2230,102,10,1.5,2015-10-09T21:27:49Z,Business Finance
50,2053,234,44,5.5,2014-10-01T18:49:29Z,Business Finance
80,1793,265,54,10,2012-10-03T03:20:10Z,Business Finance
0,3775,138,11,2,2017-05-01T21:18:54Z,Business Finance
200,521,67,24,3,2016-02-24T17:30:41Z,Business Finance
20,2222,9,12,0.7,2015-02-07T15:06:57Z,Business Finance
50,1097,252,10,1,2014-11-08T02:21:54Z,Business Finance
200,2506,21,76,6,2015-05-11T23:16:54Z,Business Finance
120,975,23,23,1,2015-09-30T18:57:45Z,Business Finance
145,1398,15,26,1.5,2015-10-19T23:01:15Z,Business Finance
195,1096,24,24,1.5,2015-10-29T00:34:09Z,Business Finance
200,1703,59,25,2,2014-11-04T01:37:23Z,Business Finance
45,1446,23,27,5,2014-12-09T08:31:40Z,Business Finance
20,2736,3,8,1.5,2014-12-29T09:00:17Z,Business Finance
200,2000,31,34,4.5,2014-12-11T20:35:05Z,Business Finance
75,853,45,48,4.5,2016-11-06T22:33:44Z,Business Finance
20,3094,2,22,3.5,2015-07-17T22:10:39Z,Business Finance
0,4077,281,20,1.5,2016-08-18T21:57:04Z,Business Finance
20,4117,54,5,1,2013-04-04T21:36:10Z,Business Finance
20,1369,17,31,1.5,2016-03-06T21:33:58Z,Business Finance
150,1224,42,14,0.55,2016-03-23T21:13:52Z,Business Finance
20,3870,12,90,9,2014-05-20T18:13:38Z,Business Finance
200,897,22,21,2,2016-05-24T15:43:06Z,Business Finance
45,1311,36,5,1,2016-01-15T18:10:47Z,Business Finance
60,1338,139,7,1,2013-03-02T13:27:41Z,Business Finance
20,1589,26,42,1.5,2015-03-03T01:22:39Z,Business Finance
20,1189,12,15,1.5,2015-02-19T20:40:23Z,Business Finance
50,701,12,37,5.5,2015-06-19T22:49:13Z,Business Finance
50,1105,3,54,6,2015-02-11T06:52:30Z,Business Finance
50,123,16,35,2,2015-09-22T00:05:53Z,Business Finance
0,5874,207,9,2,2014-06-26T02:00:55Z,Business Finance
50,354,32,49,7,2016-03-18T20:46:05Z,Business Finance
60,727,64,9,1,2013-03-08T11:42:48Z,Business Finance
0,3465,161,24,2,2016-02-23T21:05:46Z,Business Finance
60,54,4,6,0.716666667,2017-05-24T14:16:09Z,Business Finance
40,627,15,15,1.5,2015-09-23T22:16:35Z,Business Finance
45,650,107,97,10,2013-02-07T19:50:45Z,Business Finance
0,965,0,18,1.5,2017-06-28T20:37:13Z,Business Finance
200,1113,6,8,1,2017-02-03T04:34:07Z,Business Finance
95,739,28,45,2,2014-12-23T15:28:09Z,Business Finance
20,1201,12,18,1.5,2017-05-11T22:19:28Z,Business Finance
50,2474,6,128,17.5,2015-07-07T20:35:21Z,Business Finance
200,494,16,19,1,2016-08-10T13:10:13Z,Business Finance
95,1580,26,14,1,2015-09-07T20:21:39Z,Business Finance
40,617,44,55,4.5,2015-08-16T22:14:02Z,Business Finance
20,2235,3,9,1,2015-09-29T17:27:02Z,Business Finance
20,2293,9,28,2,2015-01-06T13:05:53Z,Business Finance
200,1094,8,13,2,2016-03-30T04:56:57Z,Business Finance
20,1449,29,23,1.5,2013-06-06T21:50:57Z,Business Finance
20,3251,10,59,12,2014-01-31T20:40:36Z,Business Finance
60,607,55,16,2,2013-03-05T11:31:37Z,Business Finance
75,1218,30,63,3.5,2015-06-11T19:09:17Z,Business Finance
20,1132,33,18,1,2015-07-20T23:48:08Z,Business Finance
20,656,17,20,1.5,2016-05-30T18:00:22Z,Business Finance
20,3339,4,11,1.5,2014-02-17T09:22:13Z,Business Finance
200,1271,23,7,1.5,2015-09-22T19:48:31Z,Business Finance
20,1574,24,46,2,2015-02-21T00:36:13Z,Business Finance
20,1393,27,21,2,2015-09-29T20:12:53Z,Business Finance
20,1029,13,7,0.683333333,2016-05-04T00:01:47Z,Business Finance
30,843,54,34,3,2015-03-19T16:57:50Z,Business Finance
95,1730,12,12,1.5,2014-07-24T15:20:39Z,Business Finance
50,1182,110,22,4,2014-03-12T13:40:53Z,Business Finance
65,1160,117,24,2.5,2014-12-10T21:45:30Z,Business Finance
95,1730,18,53,2,2016-01-27T17:38:23Z,Business Finance
50,1260,80,38,4,2014-10-01T18:51:06Z,Business Finance
95,871,79,59,2,2015-06-16T21:35:07Z,Business Finance
50,1566,48,25,2.5,2015-10-14T17:50:29Z,Business Finance
105,2987,23,19,2,2014-12-22T13:39:16Z,Business Finance
120,973,15,28,2.5,2016-06-21T22:46:41Z,Business Finance
40,2177,31,38,5,2015-07-07T18:59:39Z,Business Finance
35,1772,19,15,3.5,2016-01-08T21:40:03Z,Business Finance
20,1850,40,20,1,2015-06-01T20:09:03Z,Business Finance
0,1780,32,9,1,2017-05-18T16:48:46Z,Business Finance
0,4607,181,11,0.533333333,2016-05-17T00:43:59Z,Business Finance
50,12,1,38,4,2015-03-02T23:49:35Z,Business Finance
20,13,1,9,1,2015-03-08T19:11:24Z,Business Finance
200,2,1,16,1,2017-04-06T04:59:32Z,Business Finance
0,2571,32,23,4.5,2014-03-29T14:10:31Z,Business Finance
125,8,1,19,2.5,2014-06-16T11:02:39Z,Business Finance
35,7,1,19,1,2015-02-23T04:37:14Z,Business Finance
20,217,0,47,2.5,2017-02-06T16:35:44Z,Business Finance
75,22,5,45,4.5,2017-05-01T23:22:07Z,Business Finance
50,131,2,38,3,2015-11-03T18:54:45Z,Business Finance
30,5,2,15,2,2017-02-03T16:23:16Z,Business Finance
50,116,10,51,24,2013-07-23T20:18:35Z,Business Finance
100,27,6,235,19.5,2016-09-06T15:03:27Z,Business Finance
150,912,12,37,3,2017-01-11T02:52:19Z,Business Finance
20,1964,47,15,1.5,2016-01-12T20:03:45Z,Business Finance
200,1033,2,31,1.5,2017-02-22T21:36:08Z,Business Finance
95,913,117,48,2,2016-05-18T16:04:14Z,Business Finance
200,2092,77,52,3.5,2015-11-23T20:42:22Z,Business Finance
95,2240,185,44,2.5,2014-12-03T21:41:25Z,Business Finance
30,4601,38,14,4,2015-04-02T17:51:17Z,Business Finance
25,2953,20,211,20.5,2016-04-15T18:43:40Z,Business Finance
125,1091,4,29,3,2016-12-20T14:36:59Z,Business Finance
35,1459,11,26,1,2016-10-17T21:16:49Z,Business Finance
30,4855,64,24,4,2013-03-22T17:42:18Z,Business Finance
50,4034,8,40,3,2015-09-16T18:57:23Z,Business Finance
200,57,22,19,3,2016-06-06T00:06:37Z,Business Finance
35,26,9,42,2,2015-05-28T18:12:44Z,Business Finance
25,14,4,15,2.5,2017-02-07T15:34:03Z,Business Finance
50,49,3,23,3,2017-05-10T15:10:34Z,Business Finance
20,11,2,10,0.5,2015-11-19T18:20:45Z,Business Finance
20,9,3,17,0.716666667,2016-04-23T22:57:42Z,Business Finance
20,91,7,30,2,2016-06-21T17:59:58Z,Business Finance
20,44,6,55,10,2016-08-29T16:36:38Z,Business Finance
125,106,11,100,20.5,2015-11-28T06:25:44Z,Business Finance
0,2079,258,25,2,2015-02-15T12:17:56Z,Business Finance
20,135,5,12,1.5,2015-06-07T19:32:46Z,Business Finance
20,31,11,20,10.5,2016-06-29T20:21:24Z,Business Finance
60,217,7,16,1,2016-11-01T19:30:11Z,Business Finance
60,611,57,13,1.5,2013-02-24T13:23:14Z,Business Finance
0,5007,41,19,3,2015-04-13T17:52:57Z,Business Finance
50,1168,5,26,5.5,2015-09-05T05:15:07Z,Business Finance
0,4653,395,5,0.516666667,2014-09-14T21:13:26Z,Business Finance
0,3035,12,14,1.5,2016-06-20T21:02:36Z,Business Finance
60,454,52,15,2,2013-02-24T04:47:36Z,Business Finance
60,325,14,62,5,2016-03-04T15:33:46Z,Business Finance
115,228,49,43,4.5,2016-05-11T16:40:05Z,Business Finance
25,562,11,15,1,2014-06-28T05:52:41Z,Business Finance
120,577,45,82,6.5,2016-03-31T18:22:30Z,Business Finance
0,10540,799,14,1.5,2014-04-27T06:58:27Z,Business Finance
150,912,27,81,2.5,2015-07-16T22:29:32Z,Business Finance
0,2955,43,30,2,2016-10-05T15:39:55Z,Business Finance
50,190,13,45,6,2017-03-06T21:26:55Z,Business Finance
0,1736,36,11,0.6,2017-01-23T18:23:58Z,Business Finance
35,1135,10,16,1.5,2015-11-24T23:55:22Z,Business Finance
20,2101,51,11,2,2014-08-18T21:09:54Z,Business Finance
200,1048,11,16,1.5,2015-11-06T19:01:58Z,Business Finance
20,1740,5,8,1,2015-07-21T19:24:17Z,Business Finance
20,1749,41,21,1,2015-06-23T22:37:31Z,Business Finance
80,1187,6,6,0.7,2016-03-03T22:25:41Z,Business Finance
70,1263,21,18,1.5,2015-07-14T00:00:48Z,Business Finance
50,115,6,31,4,2014-03-16T14:36:01Z,Business Finance
20,43,17,39,3,2016-09-25T20:37:51Z,Business Finance
75,55,2,27,5.5,2016-01-13T03:15:11Z,Business Finance
90,18,7,97,7,2016-12-16T15:01:34Z,Business Finance
40,14,5,11,1,2016-10-29T19:15:04Z,Business Finance
30,47,9,22,2,2016-02-11T16:23:46Z,Business Finance
200,134,14,123,5.5,2016-03-15T17:23:07Z,Business Finance
20,153,8,14,1.5,2013-08-05T16:02:15Z,Business Finance
75,47,5,27,2.5,2015-06-01T20:58:11Z,Business Finance
25,42,14,11,0.683333333,2016-02-29T18:44:03Z,Business Finance
20,120,18,21,2,2015-07-21T21:45:17Z,Business Finance
20,68,10,23,0.5,2015-05-25T18:19:21Z,Business Finance
50,844,33,40,2,2015-07-12T19:05:43Z,Business Finance
20,2045,3,10,2,2015-04-12T16:28:31Z,Business Finance
20,1168,38,11,0.683333333,2015-01-25T18:41:28Z,Business Finance
25,2342,9,33,3.5,2014-10-25T13:00:19Z,Business Finance
20,2268,4,47,5.5,2015-07-07T20:21:29Z,Business Finance
50,967,16,43,8,2016-03-20T21:39:38Z,Business Finance
200,1185,10,33,2.5,2016-02-02T20:35:37Z,Business Finance
200,631,49,21,2,2015-04-17T21:59:15Z,Business Finance
60,968,81,10,2,2013-02-27T13:05:27Z,Business Finance
180,1132,70,332,29,2015-05-06T23:27:45Z,Business Finance
50,114,1,22,4,2017-05-25T17:00:12Z,Business Finance
200,204,23,9,1.5,2016-10-29T14:51:53Z,Business Finance
30,1548,24,34,3,2013-12-19T21:19:37Z,Business Finance
50,409,35,46,8,2016-04-12T00:40:03Z,Business Finance
40,1169,7,15,3,2015-08-20T20:24:00Z,Business Finance
50,249,14,39,2.5,2016-06-14T17:10:19Z,Business Finance
20,690,17,21,1,2014-05-08T23:09:32Z,Business Finance
150,1340,4,272,26,2015-07-19T19:43:52Z,Business Finance
95,274,41,18,1.5,2015-10-26T23:22:09Z,Business Finance
0,4863,202,6,1.5,2015-02-07T07:04:07Z,Business Finance
20,1923,4,31,2.5,2015-03-24T19:07:08Z,Business Finance
200,224,35,16,1.5,2016-04-25T16:25:53Z,Business Finance
20,721,12,29,3,2014-10-28T20:48:49Z,Business Finance
60,51,2,6,0.7,2017-05-23T22:23:38Z,Business Finance
195,1276,46,61,6,2015-04-06T17:34:49Z,Business Finance
0,2768,83,10,1,2016-12-20T16:08:26Z,Business Finance
0,1735,31,19,2.5,2017-05-28T14:35:47Z,Business Finance
0,8985,584,12,1,2015-03-06T01:11:18Z,Business Finance
45,1119,22,18,1,2016-02-10T04:57:32Z,Business Finance
100,2591,44,69,10,2015-01-26T20:09:29Z,Business Finance
20,1046,17,12,1,2016-02-21T22:40:55Z,Business Finance
20,2239,4,7,1,2015-09-20T20:25:11Z,Business Finance
200,1882,51,129,11,2015-07-20T23:07:38Z,Business Finance
0,5931,158,15,3.5,2016-05-04T22:34:45Z,Business Finance
0,4931,154,7,0.533333333,2016-05-31T15:10:45Z,Business Finance
180,3056,9,316,24.5,2015-04-10T19:24:28Z,Business Finance
75,1303,21,44,3,2015-06-19T15:22:42Z,Business Finance
25,2924,6,11,1.5,2015-01-15T13:19:33Z,Business Finance
50,1405,14,27,2,2015-06-12T17:34:50Z,Business Finance
0,1121,12,6,1,2017-04-27T23:49:48Z,Business Finance
95,1776,14,29,2.5,2015-07-08T21:09:43Z,Business Finance
40,1643,18,19,2,2015-07-01T20:43:10Z,Business Finance
100,801,48,25,2.5,2016-05-11T17:20:38Z,Business Finance
145,951,25,62,6,2015-02-13T20:19:58Z,Business Finance
30,1278,33,23,0.716666667,2015-07-02T21:57:04Z,Business Finance
50,1184,15,37,6,2015-07-28T00:45:02Z,Business Finance
20,1115,8,8,1,2016-05-26T21:17:14Z,Business Finance
20,1086,27,28,2,2016-02-05T00:04:50Z,Business Finance
20,3730,11,17,2.5,2015-04-10T21:01:47Z,Business Finance
95,810,27,61,2.5,2016-08-25T18:10:44Z,Business Finance
90,2338,224,5,1.5,2013-04-17T19:33:22Z,Business Finance
20,3403,29,70,8,2014-09-19T20:38:16Z,Business Finance
75,4695,7,20,1,2014-05-07T01:51:09Z,Business Finance
0,17847,1440,17,1,2016-02-24T14:53:28Z,Business Finance
50,2692,25,25,1.5,2015-09-17T18:47:54Z,Business Finance
20,6374,21,14,1,2013-10-16T04:41:28Z,Business Finance
145,2305,19,30,1.5,2015-07-22T19:02:23Z,Business Finance
100,589,31,138,10,2017-01-02T17:44:17Z,Business Finance
60,22,0,8,1,2017-07-03T15:13:33Z,Business Finance
45,2490,95,13,3,2014-11-10T03:28:26Z,Business Finance
200,2715,70,20,4,2016-05-25T21:04:41Z,Business Finance
200,1506,12,12,1,2016-11-25T04:52:51Z,Business Finance
150,2197,4,105,5.5,2016-12-21T16:30:33Z,Business Finance
200,338,32,66,3.5,2017-03-08T22:37:44Z,Business Finance
25,1076,22,176,5,2016-11-04T22:07:32Z,Business Finance
20,2769,54,32,1.5,2015-06-19T22:06:07Z,Business Finance
25,1531,6,7,0.583333333,2016-11-20T20:47:37Z,Business Finance
125,1136,12,13,1,2016-11-29T19:05:57Z,Business Finance
50,2187,218,91,13,2015-08-03T17:46:24Z,Business Finance
20,1609,137,18,1,2015-10-13T00:45:13Z,Business Finance
20,2895,56,14,1,2015-11-23T21:19:00Z,Business Finance
200,1023,8,29,2.5,2017-02-08T03:49:44Z,Business Finance
150,1988,137,27,1.5,2016-06-15T23:45:51Z,Business Finance
200,1053,20,15,0.733333333,2017-03-10T22:11:34Z,Business Finance
20,4497,281,11,1,2015-07-14T18:14:16Z,Business Finance
160,2379,33,44,3.5,2016-08-06T00:52:21Z,Business Finance
200,993,19,16,1,2017-01-19T19:09:29Z,Business Finance
30,10338,52,41,2.5,2013-10-23T18:34:25Z,Business Finance
20,1423,103,37,1.5,2016-06-19T14:56:45Z,Business Finance
40,3555,89,11,1.5,2015-04-12T18:31:07Z,Business Finance
50,567,40,53,7.5,2016-12-22T18:24:55Z,Business Finance
200,1085,17,48,6,2017-02-03T16:44:02Z,Business Finance
200,7159,61,18,2,2014-06-02T03:34:56Z,Business Finance
100,11517,92,21,1.5,2013-11-09T21:46:52Z,Business Finance
50,1,0,12,2,2017-06-29T17:27:52Z,Business Finance
20,10,1,5,0.6,2016-06-16T20:23:51Z,Business Finance
50,41,1,55,7.5,2013-07-23T20:24:14Z,Business Finance
200,8,0,8,1.5,2016-07-01T03:13:22Z,Business Finance
50,43,0,25,4,2012-11-12T15:01:43Z,Business Finance
30,23,1,19,1,2015-02-13T12:50:30Z,Business Finance
20,9,0,6,1,2016-05-03T21:14:25Z,Business Finance
20,25,1,108,3.5,2014-01-23T22:33:18Z,Business Finance
25,7,0,12,1,2016-07-11T17:22:40Z,Business Finance
45,12,1,9,0.716666667,2015-09-20T21:45:48Z,Business Finance
200,1,0,6,0.566666667,2017-06-23T16:35:04Z,Business Finance
50,29,2,7,2,2012-10-31T01:05:18Z,Business Finance
40,17,6,26,3.5,2016-02-06T01:21:33Z,Business Finance
25,132,3,14,1.5,2015-04-06T18:05:26Z,Business Finance
20,126,2,5,1,2013-08-12T13:26:27Z,Business Finance
60,32,6,15,1.5,2016-09-09T04:22:05Z,Business Finance
20,480,3,21,1,2015-08-12T17:28:53Z,Business Finance
20,27,4,15,1.5,2016-12-14T17:29:34Z,Business Finance
20,167,6,29,1.5,2014-06-11T17:50:13Z,Business Finance
20,131,3,28,1.5,2014-09-15T19:45:17Z,Business Finance
